STORE_NBR,YEARMONTH,totSales,nCustomers,nTxn,nChips,nTxnPerCust,nChipsPerTxn,avgPricePerUnit
1,2018-07,206.9,49,52,62,1.0612244897959184,1.1923076923076923,3.3370967741935487
1,2018-08,176.1,42,43,54,1.0238095238095237,1.255813953488372,3.261111111111111
1,2018-09,278.8,59,62,75,1.0508474576271187,1.2096774193548387,3.7173333333333334
1,2018-10,188.1,44,45,58,1.0227272727272727,1.288888888888889,3.243103448275862
1,2018-11,192.6,46,47,57,1.0217391304347827,1.2127659574468086,3.3789473684210525
1,2018-12,189.6,42,47,57,1.119047619047619,1.2127659574468086,3.326315789473684
1,2019-01,154.8,35,36,42,1.0285714285714285,1.1666666666666667,3.685714285714286
1,2019-02,225.4,52,55,65,1.0576923076923077,1.1818181818181819,3.4676923076923076
1,2019-03,192.9,45,49,58,1.0888888888888888,1.183673469387755,3.325862068965517
1,2019-04,192.9,42,43,57,1.0238095238095237,1.3255813953488371,3.3842105263157896
1,2019-05,221.4,46,51,66,1.108695652173913,1.2941176470588236,3.3545454545454545
1,2019-06,174.1,42,42,53,1.0,1.2619047619047619,3.2849056603773583
2,2018-07,150.8,39,41,46,1.0512820512820513,1.1219512195121952,3.2782608695652176
2,2018-08,193.8,39,43,55,1.1025641025641026,1.2790697674418605,3.523636363636364
2,2018-09,154.4,36,37,41,1.0277777777777777,1.1081081081081081,3.7658536585365856
2,2018-10,167.8,41,43,45,1.048780487804878,1.0465116279069768,3.728888888888889
2,2018-11,162.9,39,40,44,1.0256410256410255,1.1,3.7022727272727276
2,2018-12,136.0,35,37,40,1.0571428571428572,1.0810810810810811,3.4
2,2019-01,162.8,43,45,49,1.0465116279069768,1.0888888888888888,3.322448979591837
2,2019-02,139.4,29,32,37,1.103448275862069,1.15625,3.7675675675675677
2,2019-03,192.1,43,46,51,1.069767441860465,1.108695652173913,3.7666666666666666
2,2019-04,196.5,47,49,56,1.0425531914893618,1.1428571428571428,3.5089285714285716
2,2019-05,192.7,48,50,56,1.0416666666666667,1.12,3.4410714285714286
2,2019-06,156.6,40,42,44,1.05,1.0476190476190477,3.559090909090909
3,2018-07,1205.7,112,138,271,1.2321428571428572,1.963768115942029,4.449077490774908
3,2018-08,1079.75,112,131,253,1.1696428571428572,1.9312977099236641,4.267786561264822
